#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,wlroots,"is the graphical server."
,sway,"is the tiling window manager"
,swaybg,"is used for setting the wallpaper"
,swayidle,"is used for monitoring timeout events"
,swaylock,"is used for locking sway after a period of timeout"
,waybar,"is the bar for wlroots"
A,wlogout,"is used for logging out of the system"
,wofi,"is a fork fo Rofi with wayland support"
,polkit,"manages user policies."
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
,ttf-font-awesome,"provides extended glyph support."
A,lf-git,"is an extensive terminal file manager that everyone likes."
,bc,"is used for a dropdown calculator."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,ffmpeg,"can record and splice video and audio on the command line."
,ffmpegthumbnailer,"creates thumbnail previews of video files."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,python-qdarkstyle,"provides a dark Qt theme."
,neovim,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
,noto-fonts,"is an expansive font package."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,wireplumber,"is the audio system."
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,pulsemixer,"is an audio controller."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
A,abook,"is an offline addressbook usable by neomutt."
,unzip,"unzips zips."
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,bat,"can highlight code output and display files."
A,zsh-fast-syntax-highlighting-git,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
A,htop-vim,"is a graphical and colorful system monitor."
A,mutt-wizard-git,"is a light-weight terminal-based email system."
,moreutils,"is a collection of useful unix tools."
,firefox,"is the default browser"
A,arkenfox-user-js,"provides hardened security settings for Firefox"
,cronie,"is used for managing cronjobs"
,foot,"is the default terminal"
,fzf,"is very useful for a scriptable menuu"
,imv,"is wayland's image viewer"
,lsd,"is a better alternative to ls"
A,nerd-fonts-cozette-ttf,"is a cute bitmap font"
,zoxide,"is a better alternative cd"
,unarchiver,"is the perfect to fool for unpacking archied data"
